Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
TRC 1,D636,MWRY,core,141.5701017,26.45286186,25.60581566,1,9880.50,2.9,1.87,4.8,0.35,445,166,12,6.67,0.28
TRC 1,D636,MWRY,core,100.9006038,82.93484144,22.7974065,1,9887.50,2.76,1.42,3.26,0.13,439,118,5,4.68,0.3
TRC 1,D636,MWRY,core,125.301907,79.96103783,21.57636677,1,9889.70,3.35,1.97,6.02,0.07,444,180,2,7.99,0.25
TRC 1,D636,MWRY,core,142.8218055,62.12401302,24.87315626,1,9892.00,3.02,1.79,4.91,0.39,444,163,13,6.7,0.27
TRC 1,D636,MWRY,core,107.1571454,59.15310785,24.38477593,1,9894.80,0.71,0.21,0.5,0.29,441,70,41,0.71,0.3
TRC 1,D636,MWRY,core,175.3581948,68.07162026,28.04789512,1,9902.00,1.44,0.25,1.28,0.29,448,89,20,1.53,0.16
TRC 1,D636,MWRY,core,90.88895072,29.42376703,19.98899734,1,9919.00,17.8,4.26,31.59,0.57,452,177,3,35.85,0.12
TRC 1,D636,MWRY,core,127.8053146,26.45286186,22.7974065,1,9925.50,41.2,8.59,96.18,1.3,455,233,3,104.77,0.08
TRC 1,D636,MWRY,core,111.53712,26.45286186,21.08789754,1,9926.50,11,2.54,19.44,0.64,450,177,6,21.98,0.12
18-1 RED HILL FEDERAL,D441,MWRY,core,182.951684,9.1877949,13.52215153,1,9926.00,2.69,,,,,,,0,
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,8.444666,1,12656.00,2.25,1.02,1.8,0.2,456,80,9,2.82,0.36
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12658.00,2.94,0.88,2.12,0.15,463,72,5,3,0.29
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,17.97607178,1,12660.50,2.13,0.68,1.61,0.14,460,76,7,2.29,0.3
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,10.75772682,1,12665.50,2.85,1.27,2.29,0.17,460,80,6,3.56,0.36
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,23.47956132,1,12670.50,2.59,1.14,1.88,0.23,456,73,9,3.02,0.38
